Price,location,Area,Transaction,Furnishing,Bathroom
6000.0,67,500,1,2,1
13799.0,67,473,1,1,2
17500.0,67,779,1,2,2
18824.0,67,635,1,2,2
2538.0,67,550,1,2,1
11150.0,67,900,1,2,3
12174.0,67,950,1,1,2
17526.0,67,1820,1,1,4
10000.0,67,675,0,2,2
5736.0,67,647,0,2,1
11250.0,67,600,1,2,2
8571.0,67,430,1,1,1
15000.0,67,665,1,2,2
12213.0,67,557,1,2,2
10940.0,67,870,1,1,2
6648.0,67,288,1,2,1
14344.0,67,925,1,0,3
7287.0,67,434,0,1,1
17827.0,67,1350,1,2,3
15196.0,67,850,1,1,2
11608.0,67,467,1,1,2
11008.0,67,849,1,1,3
9643.0,67,440,1,0,2
12369.0,67,639,0,2,2
4070.0,67,600,1,2,2
13750.0,67,620,1,1,1
11667.0,67,550,1,2,2
4571.0,67,367,1,1,1
9750.0,67,600,1,2,2
12821.0,67,880,1,1,2
8246.0,67,380,1,2,1
5974.0,67,375,1,1,1
11905.0,67,636,1,2,2
8750.0,67,600,1,2,2
11765.0,67,661,1,1,2
5611.0,67,686,1,2,2
11481.0,67,950,1,2,3
3876.0,67,504,1,2,1
15385.0,67,799,1,1,2
18750.0,67,320,0,1,1
10000.0,67,650,1,0,2
7338.0,67,586,1,2,2
17333.0,67,1200,1,1,3
7059.0,67,590,1,2,2
11458.0,67,960,1,2,3
13699.0,67,1168,0,2,3
7438.0,67,500,1,2,1
11765.0,67,1200,1,0,3
12618.0,67,920,1,2,2
13167.0,67,460,1,1,2
8000.0,67,404,1,2,1
8173.0,67,624,0,2,2
5091.0,67,510,1,2,1
11159.0,67,450,1,2,2
8413.0,67,420,1,1,2
13866.0,67,744,1,1,2
12526.0,67,740,1,1,2
10709.0,67,479,1,1,2
7692.0,67,445,0,2,1
8571.0,67,686,1,1,2
7763.0,67,410,1,1,1
5500.0,67,775,1,2,2
5893.0,67,400,1,2,1
13591.0,67,759,1,2,2
12179.0,67,530,1,1,2
12605.0,67,1041,1,2,3
8248.0,67,735,1,2,2
6429.0,67,370,1,2,1
4403.0,67,770,1,2,2
12329.0,67,430,1,1,1
8333.0,67,410,1,1,1
4583.0,67,688,0,2,2
9554.0,67,640,1,2,2
14706.0,67,680,1,2,2
21994.0,67,1073,0,2,3
18044.0,67,1356,0,2,3
8571.0,67,400,1,2,1
11594.0,67,483,1,2,2
6691.0,67,453,0,2,2
7143.0,67,750,1,2,2
16162.0,67,800,1,1,2
17017.0,67,760,1,1,2
10256.0,67,500,1,0,2
17949.0,67,1704,1,2,4
9913.0,67,587,0,2,2
10010.0,67,699,1,1,2
16176.0,67,1350,1,2,3
22418.0,67,763,0,2,2
16667.0,67,1140,0,2,3
12963.0,67,889,1,1,3
4677.0,67,490,1,2,1
8983.0,67,415,1,2,1
20690.0,67,1140,1,1,3
17368.0,67,735,1,2,2
15217.0,67,490,0,2,1
13982.0,67,452,1,2,1
13333.0,67,450,1,2,1
10400.0,67,894,1,1,3
11134.0,67,640,1,2,2
11239.0,67,640,1,2,2
13680.0,67,758,0,2,2
13078.0,67,1153,0,2,3
4611.0,67,671,0,2,1
7485.0,67,1170,1,0,3
8300.0,67,600,1,2,2
13364.0,67,848,1,1,2
11734.0,67,650,1,2,2
15812.0,67,913,1,2,6
16579.0,67,366,1,2,1
14515.0,67,750,1,1,2
18703.0,67,706,1,2,2
7054.0,67,612,0,2,2
10690.0,67,730,1,1,2
4664.0,67,510,1,2,1
5443.0,67,961,1,2,2
19003.0,67,1228,0,1,3
5882.0,67,480,1,2,2
14576.0,67,551,1,2,2
10563.0,67,435,1,2,1
12557.0,67,430,1,1,2
15508.0,67,1359,1,2,3
14444.0,67,640,1,2,2
11717.0,67,495,1,2,2
13111.0,67,1650,1,0,4
8058.0,67,540,1,2,1
11942.0,67,650,1,2,2
10400.0,67,870,0,0,2
14615.0,67,830,0,1,2
5254.0,67,763,1,2,2
6988.0,67,480,1,2,2
12973.0,67,370,1,1,1
6408.0,67,454,0,1,1
16517.0,67,750,1,1,2
22053.0,67,721,0,2,2
7545.0,67,575,1,1,2
14846.0,67,790,0,2,2
19933.0,67,1100,1,1,3
6816.0,67,700,1,2,2
15308.0,67,790,0,2,2
14519.0,67,500,1,0,2
19075.0,67,1203,0,1,3
